run_id,chain,script,model,provider,input_tokens,output_tokens,total_tokens,total_cost,input_cost,output_cost
run-001,assignment3_mcp_middleware,starter.py,unknown,Unknown,0,0,0,0.0,0.0,0.0
run-002,assignment3_mcp_middleware,solution.py,gpt-4o-mini-2024-07-18,OpenAI,14922,804,15726,0.00272,0.002238,0.000482
